<Node [0, 1, 2, 'A', 4, 5, 6, 'B', 'C', 9, 10, 'AGENT', 12, 13, 14, 15]>
<Node [0, 1, 2, 'A', 4, 5, 6, 'B', 'C', 9, 10, 11, 12, 13, 14, 'AGENT']>
<Node [0, 1, 2, 'A', 4, 5, 6, 'B', 'C', 9, 10, 11, 12, 13, 'AGENT', 15]>
<Node [0, 1, 2, 'A', 4, 5, 6, 'B', 'C', 9, 10, 11, 12, 'AGENT', 14, 15]>
<Node [0, 1, 2, 'A', 4, 5, 6, 'B', 'C', 9, 10, 11, 'AGENT', 13, 14, 15]>
<Node [0, 1, 2, 'A', 4, 5, 6, 'B', 'AGENT', 9, 10, 11, 'C', 13, 14, 15]>
<Node [0, 1, 2, 'A', 4, 5, 6, 'B', 8, 'AGENT', 10, 11, 'C', 13, 14, 15]>
<Node [0, 1, 2, 'A', 4, 5, 6, 'B', 8, 9, 'AGENT', 11, 'C', 13, 14, 15]>
<Node [0, 1, 2, 'A', 4, 5, 6, 'B', 8, 9, 10, 'AGENT', 'C', 13, 14, 15]>
<Node [0, 1, 2, 'A', 4, 5, 6, 'B', 8, 9, 10, 11, 'C', 13, 14, 'AGENT']>
<Node [0, 1, 2, 'A', 4, 5, 6, 'B', 8, 9, 10, 11, 'C', 13, 'AGENT', 15]>
<Node [0, 1, 2, 'A', 4, 5, 6, 'B', 8, 9, 10, 11, 'C', 'AGENT', 14, 15]>
<Node [0, 1, 2, 'A', 4, 5, 6, 'B', 8, 9, 10, 11, 'AGENT', 'C', 14, 15]>
<Node [0, 1, 2, 'A', 4, 5, 6, 'AGENT', 8, 9, 10, 'B', 'C', 13, 14, 15]>
<Node [0, 1, 2, 'A', 4, 5, 'AGENT', 7, 8, 9, 10, 'B', 'C', 13, 14, 15]>
<Node [0, 1, 2, 'A', 4, 'AGENT', 6, 7, 8, 9, 10, 'B', 'C', 13, 14, 15]>
<Node [0, 1, 2, 'A', 'AGENT', 5, 6, 7, 8, 9, 10, 'B', 'C', 13, 14, 15]>
<Node ['AGENT', 1, 2, 'A', 4, 5, 6, 7, 8, 9, 10, 'B', 'C', 13, 14, 15]>
<Node [0, 'AGENT', 2, 'A', 4, 5, 6, 7, 8, 9, 10, 'B', 'C', 13, 14, 15]>
<Node [0, 1, 'AGENT', 'A', 4, 5, 6, 7, 8, 9, 10, 'B', 'C', 13, 14, 15]>
<Node [0, 1, 'A', 'AGENT', 4, 5, 6, 7, 8, 9, 10, 'B', 'C', 13, 14, 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 'AGENT', 8, 9, 10, 'B', 'C', 13, 14, 15]>
<Node [0, 1, 'A', 3, 4, 5, 'AGENT', 7, 8, 9, 10, 'B', 'C', 13, 14, 15]>
<Node [0, 1, 'A', 3, 4, 'AGENT', 6, 7, 8, 9, 10, 'B', 'C', 13, 14, 15]>
<Node [0, 1, 'A', 3, 'AGENT', 5, 6, 7, 8, 9, 10, 'B', 'C', 13, 14, 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 'AGENT', 9, 10, 'B', 'C', 13, 14, 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 'AGENT', 10, 'B', 'C', 13, 14, 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 9, 'AGENT', 'B', 'C', 13, 14, 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 9, 'B', 'AGENT', 'C', 13, 14, 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 9, 'B', 11, 'C', 13, 14, 'AGENT']>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 9, 'B', 11, 'C', 13, 'AGENT', 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 9, 'B', 11, 'C', 'AGENT', 14, 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 9, 'B', 11, 'AGENT', 'C', 14, 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 'AGENT', 9, 'B', 11, 12, 'C', 14, 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 'AGENT', 'B', 11, 12, 'C', 14, 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 'B', 'AGENT', 11, 12, 'C', 14, 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 'B', 10, 'AGENT', 12, 'C', 14, 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 'B', 10, 11, 12, 'C', 14, 'AGENT']>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 'B', 10, 11, 12, 'C', 'AGENT', 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 'B', 10, 11, 12, 'AGENT', 'C', 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 'B', 10, 11, 'AGENT', 13, 'C', 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 'AGENT', 'B', 10, 11, 12, 13, 'C', 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 'B', 'AGENT', 10, 11, 12, 13, 'C', 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 'B', 9, 'AGENT', 11, 12, 13, 'C', 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 'B', 9, 10, 'AGENT', 12, 13, 'C', 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 'B', 9, 10, 11, 12, 13, 'C', 'AGENT']>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 'B', 9, 10, 11, 12, 13, 'AGENT', 'C']>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 'B', 9, 10, 11, 12, 'AGENT', 14, 'C']>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 'B', 9, 10, 11, 'AGENT', 13, 14, 'C']>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 'AGENT', 9, 10, 11, 'B', 13, 14, 'C']>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 'AGENT', 10, 11, 'B', 13, 14, 'C']>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 9, 'AGENT', 11, 'B', 13, 14, 'C']>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 9, 10, 'AGENT', 'B', 13, 14, 'C']>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 9, 10, 'C', 'B', 13, 14, 'AGENT']>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 9, 10, 'C', 'B', 13, 'AGENT', 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 9, 10, 'C', 'B', 'AGENT', 14, 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 9, 10, 'C', 'AGENT', 'B', 14, 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 'AGENT', 9, 10, 'C', 12, 'B', 14, 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 'AGENT', 10, 'C', 12, 'B', 14, 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 9, 'AGENT', 'C', 12, 'B', 14, 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 9, 'C', 'AGENT', 12, 'B', 14, 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 9, 'C', 11, 12, 'B', 14, 'AGENT']>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 9, 'C', 11, 12, 'B', 'AGENT', 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 9, 'C', 11, 12, 'AGENT', 'B', 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 9, 'C', 11, 'AGENT', 13, 'B', 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 'AGENT', 9, 'C', 11, 12, 13, 'B', 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 'AGENT', 'C', 11, 12, 13, 'B', 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 'C', 'AGENT', 11, 12, 13, 'B', 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 'C', 10, 'AGENT', 12, 13, 'B', 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 'C', 10, 11, 12, 13, 'B', 'AGENT']>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 'C', 10, 11, 12, 13, 'AGENT', 'B']>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 'C', 10, 11, 12, 'AGENT', 14, 'B']>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 'C', 10, 11, 'AGENT', 13, 14, 'B']>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 'AGENT', 'C', 10, 11, 12, 13, 14, 'B']>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 'C', 'AGENT', 10, 11, 12, 13, 14, 'B']>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 'C', 9, 'AGENT', 11, 12, 13, 14, 'B']>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 'C', 9, 10, 'AGENT', 12, 13, 14, 'B']>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 'C', 9, 10, 'B', 12, 13, 14, 'AGENT']>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 'C', 9, 10, 'B', 12, 13, 'AGENT', 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 'C', 9, 10, 'B', 12, 'AGENT', 14, 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 'C', 9, 10, 'B', 'AGENT', 13, 14, 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 'C', 'AGENT', 10, 'B', 12, 13, 14, 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 'AGENT', 'C', 10, 'B', 12, 13, 14, 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 'C', 10, 'B', 'AGENT', 13, 14, 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 'C', 10, 'B', 12, 'AGENT', 14, 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 'C', 10, 'B', 12, 13, 'AGENT', 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 'C', 10, 'B', 12, 13, 14, 'AGENT']>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 'C', 10, 'AGENT', 12, 13, 14, 'B']>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 'C', 'AGENT', 11, 12, 13, 14, 'B']>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 'AGENT', 'C', 11, 12, 13, 14, 'B']>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 'AGENT', 9, 'C', 11, 12, 13, 14, 'B']>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 9, 'C', 11, 'AGENT', 13, 14, 'B']>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 9, 'C', 11, 12, 'AGENT', 14, 'B']>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 9, 'C', 11, 12, 13, 'AGENT', 'B']>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 9, 'C', 11, 12, 13, 'B', 'AGENT']>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 9, 'C', 'AGENT', 12, 13, 'B', 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 9, 'AGENT', 'C', 12, 13, 'B', 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 'AGENT', 10, 'C', 12, 13, 'B', 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 'AGENT', 9, 10, 'C', 12, 13, 'B', 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 9, 10, 'C', 'AGENT', 13, 'B', 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 9, 10, 'C', 12, 'AGENT', 'B', 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 9, 10, 'C', 12, 'B', 'AGENT', 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 9, 10, 'C', 12, 'B', 14, 'AGENT']>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 9, 10, 'AGENT', 12, 'B', 14, 'C']>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 9, 'AGENT', 11, 12, 'B', 14, 'C']>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 'AGENT', 10, 11, 12, 'B', 14, 'C']>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 'AGENT', 9, 10, 11, 12, 'B', 14, 'C']>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 9, 10, 11, 'AGENT', 'B', 14, 'C']>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 9, 10, 11, 'B', 'AGENT', 14, 'C']>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 9, 10, 11, 'B', 13, 'AGENT', 'C']>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 9, 10, 11, 'B', 13, 'C', 'AGENT']>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 9, 10, 'AGENT', 'B', 13, 'C', 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 9, 'AGENT', 11, 'B', 13, 'C', 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 'AGENT', 10, 11, 'B', 13, 'C', 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 'AGENT', 9, 10, 11, 'B', 13, 'C', 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 'B', 9, 10, 11, 'AGENT', 13, 'C', 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 'B', 9, 10, 11, 12, 'AGENT', 'C', 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 'B', 9, 10, 11, 12, 'C', 'AGENT', 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 'B', 9, 10, 11, 12, 'C', 14, 'AGENT']>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 'B', 9, 10, 'AGENT', 12, 'C', 14, 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 'B', 9, 'AGENT', 11, 12, 'C', 14, 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 'B', 'AGENT', 10, 11, 12, 'C', 14, 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 'AGENT', 'B', 10, 11, 12, 'C', 14, 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 'B', 10, 11, 'AGENT', 'C', 14, 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 'B', 10, 11, 'C', 'AGENT', 14, 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 'B', 10, 11, 'C', 13, 'AGENT', 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 'B', 10, 11, 'C', 13, 14, 'AGENT']>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 'B', 10, 'AGENT', 'C', 13, 14, 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 'B', 'AGENT', 11, 'C', 13, 14, 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 8, 'AGENT', 'B', 11, 'C', 13, 14, 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 'AGENT', 9, 'B', 11, 'C', 13, 14, 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 'C', 9, 'B', 11, 'AGENT', 13, 14, 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 'C', 9, 'B', 11, 12, 'AGENT', 14, 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 'C', 9, 'B', 11, 12, 13, 'AGENT', 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 'C', 9, 'B', 11, 12, 13, 14, 'AGENT']>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 'C', 9, 'B', 'AGENT', 12, 13, 14, 15]>
<Node [0, 1, 'A', 3, 4, 5, 6, 7, 'C', 9, 'AGENT', 'B', 12, 13, 14, 15]>
<Node [0, 1, 'A', 3, 4, 5, 'AGENT', 7, 'C', 9, 10, 'B', 12, 13, 14, 15]>
<Node [0, 1, 'A', 3, 4, 'AGENT', 6, 7, 'C', 9, 10, 'B', 12, 13, 14, 15]>
<Node [0, 1, 'A', 3, 'AGENT', 5, 6, 7, 'C', 9, 10, 'B', 12, 13, 14, 15]>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 'AGENT', 9, 10, 'B', 12, 13, 14, 15]>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 8, 'AGENT', 10, 'B', 12, 13, 14, 15]>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 8, 9, 'AGENT', 'B', 12, 13, 14, 15]>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 8, 9, 'B', 'AGENT', 12, 13, 14, 15]>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 8, 9, 'B', 11, 12, 13, 14, 'AGENT']>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 8, 9, 'B', 11, 12, 13, 'AGENT', 15]>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 8, 9, 'B', 11, 12, 'AGENT', 14, 15]>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 8, 9, 'B', 11, 'AGENT', 13, 14, 15]>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 'AGENT', 9, 'B', 11, 12, 13, 14, 15]>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 8, 'AGENT', 'B', 11, 12, 13, 14, 15]>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 8, 'B', 'AGENT', 11, 12, 13, 14, 15]>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 8, 'B', 10, 'AGENT', 12, 13, 14, 15]>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 8, 'B', 10, 11, 12, 13, 14, 'AGENT']>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 8, 'B', 10, 11, 12, 13, 'AGENT', 15]>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 8, 'B', 10, 11, 12, 'AGENT', 14, 15]>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 8, 'B', 10, 11, 'AGENT', 13, 14, 15]>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 'AGENT', 'B', 10, 11, 12, 13, 14, 15]>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 'B', 'AGENT', 10, 11, 12, 13, 14, 15]>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 'B', 9, 'AGENT', 11, 12, 13, 14, 15]>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 'B', 9, 10, 'AGENT', 12, 13, 14, 15]>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 'B', 9, 10, 11, 12, 13, 14, 'AGENT']>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 'B', 9, 10, 11, 12, 13, 'AGENT', 15]>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 'B', 9, 10, 11, 12, 'AGENT', 14, 15]>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 'B', 9, 10, 11, 'AGENT', 13, 14, 15]>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 'AGENT', 9, 10, 11, 'B', 13, 14, 15]>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 8, 'AGENT', 10, 11, 'B', 13, 14, 15]>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 8, 9, 'AGENT', 11, 'B', 13, 14, 15]>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 8, 9, 10, 'AGENT', 'B', 13, 14, 15]>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 8, 9, 10, 11, 'B', 13, 14, 'AGENT']>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 8, 9, 10, 11, 'B', 13, 'AGENT', 15]>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 8, 9, 10, 11, 'B', 'AGENT', 14, 15]>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 8, 9, 10, 11, 'AGENT', 'B', 14, 15]>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 'AGENT', 9, 10, 11, 12, 'B', 14, 15]>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 8, 'AGENT', 10, 11, 12, 'B', 14, 15]>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 8, 9, 'AGENT', 11, 12, 'B', 14, 15]>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 8, 9, 10, 'AGENT', 12, 'B', 14, 15]>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 8, 9, 10, 11, 12, 'B', 14, 'AGENT']>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 8, 9, 10, 11, 12, 'B', 'AGENT', 15]>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 8, 9, 10, 11, 12, 'AGENT', 'B', 15]>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 8, 9, 10, 11, 'AGENT', 13, 'B', 15]>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 'AGENT', 9, 10, 11, 12, 13, 'B', 15]>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 8, 'AGENT', 10, 11, 12, 13, 'B', 15]>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 8, 9, 'AGENT', 11, 12, 13, 'B', 15]>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 8, 9, 10, 'AGENT', 12, 13, 'B', 15]>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 8, 9, 10, 11, 12, 13, 'B', 'AGENT']>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 8, 9, 10, 11, 12, 13, 'AGENT', 'B']>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 8, 9, 10, 11, 12, 'AGENT', 14, 'B']>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 8, 9, 10, 11, 'AGENT', 13, 14, 'B']>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 'AGENT', 9, 10, 11, 12, 13, 14, 'B']>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 8, 'AGENT', 10, 11, 12, 13, 14, 'B']>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 8, 9, 'AGENT', 11, 12, 13, 14, 'B']>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 8, 9, 10, 'AGENT', 12, 13, 14, 'B']>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 8, 9, 10, 'B', 12, 13, 14, 'AGENT']>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 8, 9, 10, 'B', 12, 13, 'AGENT', 15]>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 8, 9, 10, 'B', 12, 'AGENT', 14, 15]>
<Node [0, 1, 'A', 3, 'C', 5, 6, 7, 8, 9, 10, 'B', 'AGENT', 13, 14, 15]>
<Node [0, 1, 'A', 3, 'C', 5, 6, 'AGENT', 8, 9, 10, 11, 12, 13, 14, 'B']>
<Node [0, 1, 'A', 3, 'C', 5, 'AGENT', 7, 8, 9, 10, 11, 12, 13, 14, 'B']>
<Node [0, 1, 'A', 3, 'C', 'AGENT', 6, 7, 8, 9, 10, 11, 12, 13, 14, 'B']>
<Node [0, 1, 'A', 3, 'AGENT', 'C', 6, 7, 8, 9, 10, 11, 12, 13, 14, 'B']>
<Node [0, 1, 'A', 3, 4, 'C', 6, 7, 'AGENT', 9, 10, 11, 12, 13, 14, 'B']>
<Node [0, 1, 'A', 3, 4, 'C', 6, 7, 8, 'AGENT', 10, 11, 12, 13, 14, 'B']>
<Node [0, 1, 'A', 3, 4, 'C', 6, 7, 8, 9, 'AGENT', 11, 12, 13, 14, 'B']>
<Node [0, 1, 'A', 3, 4, 'C', 6, 7, 8, 9, 10, 'AGENT', 12, 13, 14, 'B']>
<Node [0, 1, 'A', 3, 4, 'C', 6, 7, 8, 9, 10, 'B', 12, 13, 14, 'AGENT']>
<Node [0, 1, 'A', 3, 4, 'C', 6, 7, 8, 9, 10, 'B', 12, 13, 'AGENT', 15]>
<Node [0, 1, 'A', 3, 4, 'C', 6, 7, 8, 9, 10, 'B', 12, 'AGENT', 14, 15]>
<Node [0, 1, 'A', 3, 4, 'C', 6, 7, 8, 9, 10, 'B', 'AGENT', 13, 14, 15]>
<Node [0, 1, 'A', 3, 4, 'C', 6, 7, 'AGENT', 9, 10, 'B', 12, 13, 14, 15]>
<Node [0, 1, 'A', 3, 4, 'C', 6, 7, 8, 'AGENT', 10, 'B', 12, 13, 14, 15]>
<Node [0, 1, 'A', 3, 4, 'C', 6, 7, 8, 9, 'AGENT', 'B', 12, 13, 14, 15]>
<Node [0, 1, 'A', 3, 4, 'C', 6, 7, 8, 9, 'B', 'AGENT', 12, 13, 14, 15]>
<Node [0, 1, 'A', 3, 4, 'C', 6, 7, 8, 9, 'B', 11, 12, 13, 14, 'AGENT']>
<Node [0, 1, 'A', 3, 4, 'C', 6, 7, 8, 9, 'B', 11, 12, 13, 'AGENT', 15]>
<Node [0, 1, 'A', 3, 4, 'C', 6, 7, 8, 9, 'B', 11, 12, 'AGENT', 14, 15]>
<Node [0, 1, 'A', 3, 4, 'C', 6, 7, 8, 9, 'B', 11, 'AGENT', 13, 14, 15]>
<Node [0, 1, 'A', 3, 4, 'C', 6, 7, 'AGENT', 9, 'B', 11, 12, 13, 14, 15]>
<Node [0, 1, 'A', 3, 4, 'C', 6, 7, 8, 'AGENT', 'B', 11, 12, 13, 14, 15]>
<Node [0, 1, 'A', 3, 4, 'C', 6, 7, 8, 'B', 'AGENT', 11, 12, 13, 14, 15]>
<Node [0, 1, 'A', 3, 4, 'C', 6, 7, 8, 'B', 10, 'AGENT', 12, 13, 14, 15]>
<Node [0, 1, 'A', 3, 4, 'C', 6, 7, 8, 'B', 10, 11, 12, 13, 14, 'AGENT']>
<Node [0, 1, 'A', 3, 4, 'C', 6, 7, 8, 'B', 10, 11, 12, 13, 'AGENT', 15]>
<Node [0, 1, 'A', 3, 4, 'C', 6, 7, 8, 'B', 10, 11, 12, 'AGENT', 14, 15]>
<Node [0, 1, 'A', 3, 4, 'C', 6, 7, 8, 'B', 10, 11, 'AGENT', 13, 14, 15]>
<Node [0, 1, 'A', 3, 4, 'C', 6, 7, 'AGENT', 'B', 10, 11, 12, 13, 14, 15]>
<Node [0, 1, 'A', 3, 4, 'C', 6, 7, 'B', 'AGENT', 10, 11, 12, 13, 14, 15]>
<Node [0, 1, 'A', 3, 4, 'C', 6, 7, 'B', 9, 'AGENT', 11, 12, 13, 14, 15]>
<Node [0, 1, 'A', 3, 4, 'C', 6, 7, 'B', 9, 10, 'AGENT', 12, 13, 14, 15]>
<Node [0, 1, 'A', 3, 4, 'C', 6, 7, 'B', 9, 10, 11, 12, 13, 14, 'AGENT']>
<Node [0, 1, 'A', 3, 4, 'C', 6, 7, 'B', 9, 10, 11, 12, 13, 'AGENT', 15]>
<Node [0, 1, 'A', 3, 4, 'C', 6, 7, 'B', 9, 10, 11, 12, 'AGENT', 14, 15]>
<Node [0, 1, 'A', 3, 4, 'C', 6, 7, 'B', 9, 10, 11, 'AGENT', 13, 14, 15]>
<Node [0, 1, 'A', 3, 4, 'C', 6, 7, 'AGENT', 9, 10, 11, 'B', 13, 14, 15]>
